date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:56:48	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2019%20May%202016%2014:05:29%20GMT	http://www.jeunes-democrates.org/search/taxonomy%20OR%20term%20OR%205	C:/Sites/jeunes-democrates.org/www.jeunes-democrates.org/search/taxonomy%20OR%20term%20OR%205	(from http://www.jeunes-democrates.org/)
15:56:50	26082/26082	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20May%202016%2014:05:29%20GMT	http://www.jeunes-democrates.org/search/node	C:/Sites/jeunes-democrates.org/www.jeunes-democrates.org/search/node.html	(from http://www.jeunes-democrates.org/)
15:56:53	27885/27885	---M-Z	200	added ('OK')	text/html	etag:%221463666731-0%22	http://www.jeunes-democrates.org/pour-l-europe	C:/Sites/jeunes-democrates.org/www.jeunes-democrates.org/pour-l-europe.html	(from http://www.jeunes-democrates.org/)
15:56:55	29057/29057	---M-Z	200	added ('OK')	text/html	etag:%221463666734-0%22	http://www.jeunes-democrates.org/le-mouvement-democrate	C:/Sites/jeunes-democrates.org/www.jeunes-democrates.org/le-mouvement-democrate.html	(from http://www.jeunes-democrates.org/)
15:56:58	35309/35309	---M-Z	200	added ('OK')	text/html	etag:%221463666736-0%22	http://www.jeunes-democrates.org/notre-histoire-nos-racines	C:/Sites/jeunes-democrates.org/www.jeunes-democrates.org/notre-histoire-nos-racines.html	(from http://www.jeunes-democrates.org/)
15:57:06	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2019%20May%202016%2014:05:38%20GMT	http://www.jeunes-democrates.org/categories/idees	C:/Sites/jeunes-democrates.org/www.jeunes-democrates.org/categories/idees	(from http://www.jeunes-democrates.org/)
15:57:06	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2019%20May%202016%2014:05:47%20GMT	http://www.jeunes-democrates.org/search/taxonomy%20OR%20term%20OR%201	C:/Sites/jeunes-democrates.org/www.jeunes-democrates.org/search/taxonomy%20OR%20term%20OR%201	(from http://www.jeunes-democrates.org/)
15:57:15	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2019%20May%202016%2014:05:48%20GMT	http://www.jeunes-democrates.org/categories/editos	C:/Sites/jeunes-democrates.org/www.jeunes-democrates.org/categories/editos	(from http://www.jeunes-democrates.org/)
15:57:16	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2019%20May%202016%2014:05:56%20GMT	http://www.jeunes-democrates.org/search/taxonomy%20OR%20term%20OR%206	C:/Sites/jeunes-democrates.org/www.jeunes-democrates.org/search/taxonomy%20OR%20term%20OR%206	(from http://www.jeunes-democrates.org/)
15:57:16	1601/1601	---M-Z	200	added ('OK')	text/html	etag:%2260c93-641-4dc8c61c9f440%22	http://www.jeunes-democrates.org/files/notre_manifeste/Manifeste/manifeste.html	C:/Sites/jeunes-democrates.org/www.jeunes-democrates.org/files/notre_manifeste/Manifeste/manifeste.html	(from http://www.jeunes-democrates.org/)
15:57:18	33166/33166	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20May%202016%2014:05:57%20GMT	http://www.jeunes-democrates.org/europe-federale	C:/Sites/jeunes-democrates.org/www.jeunes-democrates.org/europe-federale.html	(from http://www.jeunes-democrates.org/)
15:57:21	30894/30894	---M-Z	200	added ('OK')	text/html	etag:%221463666759-0%22	http://www.jeunes-democrates.org/etat-moderne	C:/Sites/jeunes-democrates.org/www.jeunes-democrates.org/etat-moderne.html	(from http://www.jeunes-democrates.org/)
